Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T04:00+01:00;2014-01-18T05:00+01:00;2014-01-18;04:00;05:00;Totalt i retning B�RUMSVEIEN;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T04:00+01:00;2014-01-18T05:00+01:00;2014-01-18;04:00;05:00;Totalt i retning E18;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T04:00+01:00;2014-01-18T05:00+01:00;2014-01-18;04:00;05:00;Totalt;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T05:00+01:00;2014-01-18T06:00+01:00;2014-01-18;05:00;06:00;1;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T05:00+01:00;2014-01-18T06:00+01:00;2014-01-18;05:00;06:00;2;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T05:00+01:00;2014-01-18T06:00+01:00;2014-01-18;05:00;06:00;Totalt i retning B�RUMSVEIEN;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T05:00+01:00;2014-01-18T06:00+01:00;2014-01-18;05:00;06:00;Totalt i retning E18;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T05:00+01:00;2014-01-18T06:00+01:00;2014-01-18;05:00;06:00;Totalt;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T06:00+01:00;2014-01-18T07:00+01:00;2014-01-18;06:00;07:00;1;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T06:00+01:00;2014-01-18T07:00+01:00;2014-01-18;06:00;07:00;2;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T06:00+01:00;2014-01-18T07:00+01:00;2014-01-18;06:00;07:00;Totalt i retning B�RUMSVEIEN;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T06:00+01:00;2014-01-18T07:00+01:00;2014-01-18;06:00;07:00;Totalt i retning E18;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T06:00+01:00;2014-01-18T07:00+01:00;2014-01-18;06:00;07:00;Totalt;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T07:00+01:00;2014-01-18T08:00+01:00;2014-01-18;07:00;08:00;1;58;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T07:00+01:00;2014-01-18T08:00+01:00;2014-01-18;07:00;08:00;2;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T07:00+01:00;2014-01-18T08:00+01:00;2014-01-18;07:00;08:00;Totalt i retning B�RUMSVEIEN;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T07:00+01:00;2014-01-18T08:00+01:00;2014-01-18;07:00;08:00;Totalt i retning E18;58;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T07:00+01:00;2014-01-18T08:00+01:00;2014-01-18;07:00;08:00;Totalt;90;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T08:00+01:00;2014-01-18T09:00+01:00;2014-01-18;08:00;09:00;1;62;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T08:00+01:00;2014-01-18T09:00+01:00;2014-01-18;08:00;09:00;2;79;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T08:00+01:00;2014-01-18T09:00+01:00;2014-01-18;08:00;09:00;Totalt i retning B�RUMSVEIEN;79;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T08:00+01:00;2014-01-18T09:00+01:00;2014-01-18;08:00;09:00;Totalt i retning E18;62;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T08:00+01:00;2014-01-18T09:00+01:00;2014-01-18;08:00;09:00;Totalt;141;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T09:00+01:00;2014-01-18T10:00+01:00;2014-01-18;09:00;10:00;1;80;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T09:00+01:00;2014-01-18T10:00+01:00;2014-01-18;09:00;10:00;2;124;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T09:00+01:00;2014-01-18T10:00+01:00;2014-01-18;09:00;10:00;Totalt i retning B�RUMSVEIEN;124;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T09:00+01:00;2014-01-18T10:00+01:00;2014-01-18;09:00;10:00;Totalt i retning E18;80;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T09:00+01:00;2014-01-18T10:00+01:00;2014-01-18;09:00;10:00;Totalt;204;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T10:00+01:00;2014-01-18T11:00+01:00;2014-01-18;10:00;11:00;1;128;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T10:00+01:00;2014-01-18T11:00+01:00;2014-01-18;10:00;11:00;2;213;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T10:00+01:00;2014-01-18T11:00+01:00;2014-01-18;10:00;11:00;Totalt i retning B�RUMSVEIEN;213;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T10:00+01:00;2014-01-18T11:00+01:00;2014-01-18;10:00;11:00;Totalt i retning E18;128;-;-;-;-;-;-;-;-;-;-;-;-;-;-
48412V444326;DRAGEVEIEN;FV1623 S1D1 m337;2014-01-18T10:00+01:00;2014-01-18T11:00+01:00;2014-01-18;10:00;11:00;Totalt;341;-;-;-;-;-;-;-;-;-;-;-;-;-;-
